project_id	donor_id	file_id	bundle_id	object_id	filename	SM	LB	PL	PM	PU	AS	PI	CN	DT
PRAD-FR	DO229064	FI802837	13a5a7f1-6eea-567f-ac4b-9f1a879d3488	EGAR00001502656	b4b87425d164fa7a399e5ff5e89a9e17.ls183_D1132ACXX_8_16.ua.bam	NONE								
PRAD-FR	DO229070	FI802844	a71bdaec-d0ea-541e-8a8c-df54d7fcb0d8	EGAR00001503014	317e9ee30b30abd4fe0510705f898095.ls759_D1YTDACXX_1_21.ua.bam	NONE								
PRAD-FR	DO229076	FI802817	1cf463b4-2db8-58ea-ae0f-abbea9aae97f	EGAR00001503416	777145e5360e8707271a17c7d0255d23.ls84_D1117ACXX_7_5.ua.bam	NONE								
PRAD-FR	DO229083	FI802796	523d3555-7656-56a0-982f-9078c1b13dc9	EGAR00001503594	020e35efdbe79061718e907c8c44d73f.ls1532_C2M0CACXX_1_7nf.ua.bam	NONE								
PRAD-FR	DO229117	FI802753	b2e407a8-2ec8-52f8-862d-4ab6c47ece4b	EGAR00001503830	54407aad07d78067c35c182efebbaa89.ls1738_C2NCBACXX_8_5nf.ua.bam	NONE								
PRAD-FR	DO229075	FI802758	61814d6e-0fcc-5135-8b94-61d217ee2517	EGAR00001503341	9aab3b0b1fbfc3eadbff956779c6b882.ls280_C19K3ACXX_2_16nf.ua.bam	NONE								
PRAD-FR	DO229065	FI802786	ab1fc20c-55bd-56cc-a829-4fb6db86d9d8	EGAR00001502788	3dce8e900c482f0292ba779bf8ca49c6.ls284_C19N2ACXX_1_10nf.ua.bam	NONE								
PRAD-FR	DO229064	FI802780	a304fbff-88cc-5f53-9047-c395de3c1acd	EGAR00001502699	9fc67b5b177d12040ce60b2e10cdde4d.ls2536_C48WNACXX_8_3nf.ua.bam	NONE								
PRAD-FR	DO229074	FI802703	ee245862-08c5-5bdf-9ed4-f50f25b6cf73	EGAR00001503300	1454f234eeb446133131ec0e69c890c6.ls345_C1797ACXX_3_5nf.ua.bam	NONE								
PRAD-FR	DO229070	FI802736	adbe8100-659b-5fa6-984f-8406829f4a01	EGAR00001503073	d1d9cd30ea4ce242481bbc1773c55a3c.ls28_C0TVEACXX_7_6.ua.bam	NONE								
PRAD-FR	DO229076	FI802675	9cd3386e-7a24-501f-a902-8ada0465b5af	EGAR00001503406	e533962431e08196e858e006e4bc2d45.ls159_D1130ACXX_4_4.ua.bam	NONE								
PRAD-FR	DO229070	FI802673	da35e7eb-9813-54ea-8fae-ce6adb81bb2c	EGAR00001503011	9256529c675bf1b3af8379bf969a4e3c.ls696_D1WUUACXX_1_6.ua.bam	NONE								
PRAD-FR	DO229074	FI802664	8cb03747-537d-5f7f-991c-103f9d713f0c	EGAR00001503291	5aa481642cc2638dea0d66c93fed3e5e.ls278_C19K3ACXX_1_14nf.ua.bam	NONE								
PRAD-FR	DO229080	FI802616	1f76d6da-8ad2-5a1d-8264-60cda4a42270	EGAR00001503518	924b68fde8f6418a0bf9fc193e270b65.ls479_D1UABACXX_6_9nf.ua.bam	NONE								
PRAD-FR	DO229080	FI802615	5eb61e9c-dad8-518d-9aa0-ac53ee0b6028	EGAR00001503532	7130aad22bd8c3c9a7b69d50f38fa14a.ls437_D1UABACXX_6_15nf.ua.bam	NONE								
PRAD-FR	DO229117	FI802579	f3dfd1af-9761-55d1-be92-9e04a14ba74f	EGAR00001503820	3d01fb247df8858c9dca434d1841e39a.ls2460_C4HMCACXX_4_1nf.ua.bam	NONE								
PRAD-FR	DO229072	FI802588	a8250196-81b9-54be-95cb-0d8a68dfb95a	EGAR00001503155	003a1e051b9b9f60354ae7b3633d1894.ls18_C0TRHACXX_7_10.ua.bam	NONE								
PRAD-FR	DO229072	FI802583	0b9a2d26-e2e2-5478-acc1-90537614f068	EGAR00001503193	a9b5784fc604d4c4d92b4f6c700351b0.ls17_C0TRHACXX_7_1.ua.bam	NONE								
PRAD-FR	DO229083	FI802516	d148c2ee-9018-5a32-8b13-ca6f8fd39a1d	EGAR00001503610	2e61aa5f2e53949c79d2a4c60b93c8d3.ls1578_C2M0CACXX_2_10nf.ua.bam	NONE								
PRAD-FR	DO229070	FI802544	eb733f1a-12d4-55c8-9793-d0779c3b9ee2	EGAR00001503061	e64b99c3d397a4dc4071c7ce1cd26a77.ls12_C0TRHACXX_5_6.ua.bam	NONE								
PRAD-FR	DO229065	FI802488	c0798160-5085-5ad9-bfdd-a9555428c587	EGAR00001502790	80cc4f19873982246cc87a9f7e61ef32.ls332_C16NDACXX_8_1nf.ua.bam	NONE								
PRAD-FR	DO229073	FI802427	2b1123a4-0f25-597b-9121-20bfd99fb749	EGAR00001503227	464cabd1c8f6654697c16fd740f1e6d1.ls56_D1112ACXX_8_3.ua.bam	NONE								
PRAD-FR	DO229117	FI802467	c0216b42-a436-5cc8-b209-b4b6a75947d6	EGAR00001503768	6b88f5f3a015c5e783c2869217a3336f.ls2635_C4527ACXX_2_1nf.ua.bam	NONE								
PRAD-FR	DO229073	FI802468	140cec4f-e2f6-55de-93ad-410942bd21c5	EGAR00001503221	b827707f4ea712b55487d713215a8907.ls48_D1112ACXX_6_3.ua.bam	NONE								
PRAD-FR	DO229070	FI802402	ba8d7279-26e5-5080-8fc3-6ac46c9ea78a	EGAR00001503056	b61c49dc5c6158f63cd8190aced6a991.ls202_D1135ACXX_3_21.ua.bam	NONE								
PRAD-FR	DO229113	FI802410	85a43fc5-cdce-5a4a-be10-50c13c0f8ce6	EGAR00001503661	31fb9a81ac4ae7eb496297e600c32801.ls2444_C4HMCACXX_7_10nf.ua.bam	NONE								
PRAD-FR	DO229073	FI802423	55364f24-d003-546f-8ae3-b08aca8811b0	EGAR00001503267	6de986c70fe130c523c6017094fd4b58.ls2575_C48WNACXX_8_5nf.ua.bam	NONE								
PRAD-FR	DO229117	FI802359	cb87961d-10ff-5180-b7b0-141686a71bba	EGAR00001503796	331d16f0006807e695789ed4edac46a6.ls2692_C4A7JACXX_6_1nf.ua.bam	NONE								
PRAD-FR	DO229074	FI802383	d003f14b-7322-557d-8588-e8864212ab60	EGAR00001503292	8d87d1359f4a8c05c523de964bcf88c8.ls281_C19N1ACXX_8_14nf.ua.bam	NONE								
PRAD-FR	DO229066	FI802384	9dbdc2db-a955-5ecd-9961-51583ea317a7	EGAR00001502848	5ff86778932f4bd39e7a3d9b73b6dff6.ls329_C16NDACXX_8_3nf.ua.bam	NONE								
PRAD-FR	DO229081	FI802309	ebccfb09-4cde-5c3f-9362-e9b8efca43db	EGAR00001503561	ee06adfaa1f48f8524087efb1fd2de8b.ls439_D1UABACXX_7_18nf.ua.bam	NONE								
PRAD-FR	DO229066	FI802305	780d47cf-e3ae-545b-b95b-6c57c27a6f61	EGAR00001502866	d0d88fcbe4b572ec8de99468d42c92d9.ls390_D1HMEACXX_3_3nf.ua.bam	NONE								
PRAD-FR	DO229073	FI802318	07c0b684-28dc-549d-a95c-61dc2308fad9	EGAR00001503230	bb2a5871b4daafdaad77b51bade2bd56.ls2706_C491JACXX_4_5nf.ua.bam	NONE								
PRAD-FR	DO229068	FI802324	af5ff611-3796-5b4d-87f6-23a9d9681ead	EGAR00001502950	c1238368973e747b553ce34eb63a2b31.ls702_D1WUUACXX_3_4.ua.bam	NONE								
PRAD-FR	DO229080	FI802325	c8b3df97-c6e8-59ef-b8eb-de272338716e	EGAR00001503529	25b3ce07272ccf06714d9d315816d41d.ls417_C1VAGACXX_6_15nf.ua.bam	NONE								
PRAD-FR	DO229064	FI802334	cc41c805-9daa-530a-a39f-7e2d84bdea10	EGAR00001502709	e213c95a861f5548fe633b4faa887300.ls216_D1135ACXX_6_2.ua.bam	NONE								
PRAD-FR	DO229076	FI802336	3d02e957-8de7-505b-a009-ae7c40ab0851	EGAR00001503408	60a26de9024a2737aa0263286b107a4d.ls83_D1117ACXX_7_4.ua.bam	NONE								
PRAD-FR	DO229117	FI802229	78f9bbb9-8c09-5191-be65-f19e0ab8cda1	EGAR00001503773	948b3f0fc75e99f753c10a109203d735.ls2455_C48W9ACXX_6_11nf.ua.bam	NONE								
PRAD-FR	DO229064	FI802242	07c31472-9e0a-5b31-bb78-e5c9bf4b0193	EGAR00001502708	f85d1bcb53142b3d82830bd2234278a6.ls2559_C44JJACXX_8_3nf.ua.bam	NONE								
PRAD-FR	DO229064	FI802211	01d75023-26cd-5f2d-bcbb-6ee06447af03	EGAR00001502691	6d6875f757aafc6233c61ac6af5edf3e.ls213_D1135ACXX_6_1.ua.bam	NONE								
PRAD-FR	DO229082	FI802107	838f4d72-c2c3-56a4-93df-9c88b88d6fb3	EGAR00001503586	8ed6d7ac47b67889f7baed9e5a7c8a96.ls1602_C2LR4ACXX_5_10nf.ua.bam	NONE								
PRAD-FR	DO229078	FI802109	7005dae8-6777-5e7f-8903-9d1919e74bec	EGAR00001503465	cd312e5efaa9eb2514d294d7b864abab.ls1614_C2NCBACXX_4_9nf.ua.bam	NONE								
PRAD-FR	DO229070	FI802115	181f1c5e-cd72-5f8e-ade5-2793ea2508c8	EGAR00001503027	f518e73f8a0e1a9f89198eb2648a9714.ls760_D1YTDACXX_1_6.ua.bam	NONE								
PRAD-FR	DO229082	FI802146	a62f1dbd-1175-5e83-823f-1731fbd2f75f	EGAR00001503575	b14a2cbbd504a7244a35b13cddde838a.ls1757_C2R3RACXX_6_7nf.ua.bam	NONE								
PRAD-FR	DO229066	FI802091	ec962e5f-8648-5791-b7e2-8594f801155e	EGAR00001502835	637ae5d224f10b1f6be3fa0ce393a1aa.ls679_C22YTACXX_8_4nf.ua.bam	NONE								
PRAD-FR	DO229071	FI802039	bf992ead-0072-5ebb-a551-822048b613a9	EGAR00001503108	98d430a4cb482afc755fbf312c7df96f.ls106_D112KACXX_7_25.ua.bam	NONE								
PRAD-FR	DO229113	FI802061	a16c14c9-c874-5f00-a54e-2c1953bd1ea2	EGAR00001503660	c424321e4dc4a28da4fa4d8447a8f52f.ls2583_C4527ACXX_3_7nf.ua.bam	NONE								
PRAD-FR	DO229081	FI801991	12ba78bc-7215-57ae-8508-860a99c4ef45	EGAR00001503546	44e2928d19821ef26ed17a5abaa5f96b.ls473_D1U8FACXX_7_11nf.ua.bam	NONE								
PRAD-FR	DO229075	FI801955	fd3b2530-8f72-57e6-b24c-fef7bf9f3de8	EGAR00001503351	9d9e0f555a4daca73b75c3edb7fb050a.ls323_D1HMEACXX_8_16nf.ua.bam	NONE								
PRAD-FR	DO229079	FI801961	9c6c530f-125d-5c5c-b65b-3dcc0f08be8e	EGAR00001503483	b919b51bffe62714d85e03217241d145.ls1751_C2R3RACXX_3_4nf.ua.bam	NONE								
PRAD-FR	DO229068	FI801918	fdda1bfb-7fb0-535a-ab0d-93a011e72b52	EGAR00001502963	76169dd9be056800a0f526a31a59713b.ls787_D24KKACXX_6_19.ua.bam	NONE								
PRAD-FR	DO229074	FI801862	84f2bba0-8195-5bff-9458-651a33721c7c	EGAR00001503313	ce97d7a8c19080c654fe8865c3428f77.ls346_C1797ACXX_3_6nf.ua.bam	NONE								
